"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Acot7"	1.72717747838424e-07	0.435794814906434	0.157	0.074	0.00438754894833949	"InP"	"Acot7"
"Il1rapl22"	1.75523746790442e-07	0.731289721195589	0.35	0.239	0.0044588297397176	"InP"	"Il1rapl2"
"Dlc1"	1.86277108641117e-07	0.323041686762638	0.336	0.204	0.00473199739081028	"InP"	"Dlc1"
"Mblac2"	1.96365841948423e-07	0.354734030771672	0.175	0.086	0.00498828148301579	"InP"	"Mblac2"
"Palm2"	1.9704754386159e-07	0.331794296551353	0.142	0.064	0.00500559875671598	"InP"	"Palm2"
"Runx21"	2.02040594140933e-07	0.531653801268136	0.252	0.148	0.00513243721296212	"InP"	"Runx2"
"Eml2"	2.26763387108902e-07	0.410702043613356	0.182	0.091	0.00576047032272743	"InP"	"Eml2"
"Cacng2"	2.34422901907716e-07	0.430713357886866	0.19	0.098	0.00595504497716171	"InP"	"Cacng2"
"Snrpn"	2.38152090450589e-07	0.376765596007526	0.106	0.042	0.0060497775537163	"InP"	"Snrpn"
"Fam49b"	3.13908309266177e-07	0.417752054986047	0.281	0.171	0.00797421278028868	"InP"	"Fam49b"
"Crtc3"	3.28170968157093e-07	0.356523276179521	0.142	0.065	0.00833652710409464	"InP"	"Crtc3"
"Mdh1"	3.30339028715272e-07	0.342953455497977	0.212	0.112	0.00839160234645405	"InP"	"Mdh1"
"Zfp6081"	4.44598089298751e-07	0.405616404812686	0.15	0.071	0.0112941252624562	"InP"	"Zfp608"
"Caskin11"	5.07872843061958e-07	0.330243403961947	0.252	0.142	0.0129014938323029	"InP"	"Caskin1"
"Clmp1"	5.13161545519908e-07	0.319809787459309	0.15	0.07	0.0130358427408422	"InP"	"Clmp"
"Spats2"	5.42184494000456e-07	0.284802550188436	0.128	0.056	0.0137731127010936	"InP"	"Spats2"
"Hdac3"	5.89569011207124e-07	0.348209997258914	0.19	0.098	0.0149768215916946	"InP"	"Hdac3"
"Cyc11"	5.9409142829904e-07	0.323568942032163	0.223	0.121	0.0150917045530805	"InP"	"Cyc1"
"A330102I10Rik"	6.557491407221e-07	0.379214533842865	0.226	0.125	0.0166579954217635	"InP"	"A330102I10Rik"
"Evl"	6.63559056435103e-07	0.319727801597835	0.255	0.147	0.0168563907106209	"InP"	"Evl"
"Fam135b2"	6.89323757674043e-07	0.36790473878329	0.423	0.294	0.0175108914161937	"InP"	"Fam135b"
"Dgkd"	9.38004302401601e-07	0.327939584029474	0.248	0.143	0.0238281232939079	"InP"	"Dgkd"
"Ncs1"	9.39771683831204e-07	0.292451872470445	0.135	0.062	0.0238730200843641	"InP"	"Ncs1"
"Snx25"	1.00382857007703e-06	0.301246329910337	0.135	0.062	0.0255002571656668	"InP"	"Snx25"
"Astn21"	1.01769227651018e-06	0.318982339685786	0.573	0.442	0.0258524369001881	"InP"	"Astn2"
"Lrrc16b"	1.01837048154728e-06	0.381254165064882	0.175	0.09	0.0258696653427455	"InP"	"Lrrc16b"
"Fam214b"	1.02507528452289e-06	0.355281763817539	0.102	0.042	0.0260399874527349	"InP"	"Fam214b"
"Dgkq"	1.1334148043578e-06	0.348856393964253	0.182	0.095	0.0287921362751013	"InP"	"Dgkq"
"Samm50"	1.22938055714498e-06	0.334891239180405	0.182	0.094	0.031229954293154	"InP"	"Samm50"
"Got1"	1.31507289731824e-06	0.325463146059637	0.128	0.058	0.0334067968105752	"InP"	"Got1"
"Atp1b3"	1.32824255984133e-06	0.355066415248238	0.223	0.124	0.0337413457476493	"InP"	"Atp1b3"
"Vwa8"	1.33334679192058e-06	0.35695649740598	0.296	0.183	0.0338710085551586	"InP"	"Vwa8"
"Mdn1"	1.36587122883771e-06	0.446787700118326	0.245	0.145	0.0346972268261644	"InP"	"Mdn1"
"Pkm"	1.43096015853939e-06	0.393406738243334	0.212	0.118	0.036350680907376	"InP"	"Pkm"
"Slc2a131"	1.46341288625397e-06	0.323034722979041	0.493	0.367	0.0371750775495095	"InP"	"Slc2a13"
"Gm26691"	1.49868371149938e-06	0.307599009459293	0.245	0.143	0.0380710623232187	"InP"	"Gm26691"
"Adarb1"	1.57406583978063e-06	0.429368745357027	0.307	0.196	0.0399859945279472	"InP"	"Adarb1"
"Sgip1"	1.60657670775655e-06	0.357826723997641	0.518	0.412	0.0408118681071395	"InP"	"Sgip1"
"Slc35f3"	1.64641379663833e-06	0.504144881885158	0.223	0.129	0.0418238496760035	"InP"	"Slc35f3"
"Tpra1"	1.67118640428204e-06	0.398601524221912	0.117	0.052	0.0424531482279766	"InP"	"Tpra1"
"Dus3l"	1.77857452077807e-06	0.423489697957467	0.266	0.162	0.0451811285513254	"InP"	"Dus3l"
"Nktr"	1.86010289728459e-06	0.325017245555238	0.628	0.522	0.0472521938997203	"InP"	"Nktr"
"Ggt7"	1.86371507222728e-06	0.282846668247403	0.263	0.154	0.0473439539797896	"InP"	"Ggt7"
"Cpeb3"	2.01112754888924e-06	0.349812538413408	0.369	0.248	0.0510886731244335	"InP"	"Cpeb3"
"Zranb2"	2.08139652909819e-06	0.346883069185201	0.672	0.568	0.0528737160286814	"InP"	"Zranb2"
"Inpp4b"	2.12568195906547e-06	0.359249065880126	0.161	0.082	0.0539986988061403	"InP"	"Inpp4b"
"Hook2"	2.2034604243419e-06	0.390513053248708	0.131	0.062	0.0559745051595573	"InP"	"Hook2"
"Ldhb1"	2.52974047277838e-06	0.374243982429745	0.179	0.095	0.0642629972299892	"InP"	"Ldhb"
"Clvs1"	2.60298219382254e-06	0.366136737518964	0.303	0.193	0.0661235566696739	"InP"	"Clvs1"
"Il1rapl11"	2.60598468441924e-06	0.275669112803392	0.828	0.806	0.066199828938302	"InP"	"Il1rapl1"
"Cers6"	2.65512376172702e-06	0.459745944931744	0.347	0.238	0.0674481089191514	"InP"	"Cers6"
"Tfrc"	2.67645246725751e-06	0.315440415541631	0.201	0.111	0.0679899220257426	"InP"	"Tfrc"
"Btbd3"	2.77512108413523e-06	0.350825473448292	0.15	0.074	0.0704964009002873	"InP"	"Btbd3"
"Gas61"	2.86291729275168e-06	0.501246426627752	0.161	0.083	0.072726687987771	"InP"	"Gas6"
"Git2"	2.9073547302186e-06	0.382583323527137	0.182	0.099	0.0738555322117432	"InP"	"Git2"
"Map3k9"	3.07965588750344e-06	0.380479599601892	0.139	0.067	0.0782324985102498	"InP"	"Map3k9"
"Cntnap11"	3.12357601193141e-06	0.387422755194324	0.139	0.067	0.0793482014310936	"InP"	"Cntnap1"
"Eea1"	3.14487961884271e-06	0.374872027714792	0.19	0.103	0.0798893769574613	"InP"	"Eea1"
"Arhgef3"	3.67259026504758e-06	0.391751267750723	0.157	0.081	0.0932948105030036	"InP"	"Arhgef3"
"Drosha"	3.75450432850509e-06	0.394021412043055	0.219	0.127	0.0953756734570149	"InP"	"Drosha"
"Gpatch2"	3.90500843703823e-06	0.350410053453394	0.201	0.112	0.0991989293260823	"InP"	"Gpatch2"
"Ece2"	4.56684201631719e-06	0.350114761000838	0.106	0.046	0.116011487740506	"InP"	"Ece2"
"Coq9"	4.66197381150301e-06	0.36145620101577	0.161	0.083	0.118428120733611	"InP"	"Coq9"
"Ncoa1"	4.68172107907438e-06	0.29554514271308	0.325	0.213	0.118929760571726	"InP"	"Ncoa1"
"Clip4"	4.83385170931982e-06	0.319138763285888	0.109	0.049	0.122794334971851	"InP"	"Clip4"
"Dlat"	4.85425358125644e-06	0.276978155006382	0.161	0.082	0.123312603724657	"InP"	"Dlat"
"Ppib"	4.85619006581344e-06	0.354871176060358	0.292	0.186	0.123361796241859	"InP"	"Ppib"
"Srgap3"	4.9099007043689e-06	0.360470008660552	0.474	0.347	0.124726207593083	"InP"	"Srgap3"
"Pvt1"	4.96544310573745e-06	0.396602549013346	0.175	0.094	0.126137151215049	"InP"	"Pvt1"
"Rps6ka21"	5.01743744752983e-06	0.456858346582417	0.197	0.11	0.1274579634796	"InP"	"Rps6ka2"
"Rell21"	5.08806756497592e-06	0.322059517266858	0.135	0.066	0.129252180353083	"InP"	"Rell2"
"Pdss1"	5.79737584160348e-06	0.323940766700729	0.179	0.097	0.147270738504253	"InP"	"Pdss1"
"Cdc14b"	5.84330218971884e-06	0.321907044678375	0.131	0.064	0.148437405525428	"InP"	"Cdc14b"
"Far21"	5.86864651329277e-06	0.38404837219268	0.161	0.084	0.149081227377176	"InP"	"Far2"
"Trio"	5.87942798925457e-06	0.380196269390903	0.478	0.361	0.149355109211034	"InP"	"Trio"
"Rgl2"	7.30184602259682e-06	0.366841672815844	0.245	0.149	0.185488794512027	"InP"	"Rgl2"
"Nek1"	7.34377439015938e-06	0.424229958637167	0.347	0.241	0.186553900833219	"InP"	"Nek1"
"Mir124-2hg"	7.8005304237229e-06	0.315515762262076	0.223	0.131	0.198156874353833	"InP"	"Mir124-2hg"
"Npm1"	8.29375669155022e-06	0.25347200894222	0.102	0.045	0.21068630123545	"InP"	"Npm1"
"Uggt1"	8.33044257511365e-06	0.356375601747917	0.172	0.094	0.211618232735612	"InP"	"Uggt1"
"Myo19"	8.37083935237125e-06	0.327939939492727	0.124	0.059	0.212644432068287	"InP"	"Myo19"
"Fnip2"	8.77864987698899e-06	0.308382051987327	0.117	0.054	0.223004042825151	"InP"	"Fnip2"
"Apc"	9.18886566175735e-06	0.288471795519505	0.467	0.364	0.233424754405622	"InP"	"Apc"
"Phactr3"	9.73690372498718e-06	0.470676246011701	0.248	0.156	0.247346565325849	"InP"	"Phactr3"
"Iffo1"	9.94047817273917e-06	0.286136720156191	0.19	0.106	0.252517967022093	"InP"	"Iffo1"
"Chchd7"	1.15786686912664e-05	0.251504292884062	0.135	0.067	0.294132920764242	"InP"	"Chchd7"
"Dhx15"	1.20805469754185e-05	0.459030615238358	0.182	0.102	0.306882134816557	"InP"	"Dhx15"
"Rev3l"	1.2397632558688e-05	0.332144201785622	0.259	0.164	0.314937059888352	"InP"	"Rev3l"
"Acadsb"	1.30732982981316e-05	0.303221072995826	0.164	0.087	0.332100996667438	"InP"	"Acadsb"
"Sec31a"	1.40326461752606e-05	0.325709030149439	0.146	0.075	0.356471310790144	"InP"	"Sec31a"
"Pcdh17"	1.42400482033776e-05	0.347342052144721	0.157	0.084	0.361739944510402	"InP"	"Pcdh17"
"Dennd5a"	1.4270594401028e-05	0.393203167492327	0.161	0.087	0.362515909569314	"InP"	"Dennd5a"
"Usp36"	1.44163826262171e-05	0.354088542915334	0.172	0.095	0.366219367853793	"InP"	"Usp36"
"Ganab"	1.56858357180949e-05	0.260543010044173	0.117	0.055	0.398467284746766	"InP"	"Ganab"
"Rbm25"	1.69482273151104e-05	0.375290641983726	0.766	0.673	0.430535818485749	"InP"	"Rbm25"
"Polb"	1.76006920823702e-05	0.365825120184515	0.365	0.26	0.447110380968451	"InP"	"Polb"
"Srek1"	1.79648959504878e-05	0.404416806594324	0.365	0.265	0.456362251830241	"InP"	"Srek1"
"Mccc2"	1.94694094501366e-05	0.287280224289421	0.102	0.047	0.494581408261819	"InP"	"Mccc2"
"Flnb"	2.02037051980411e-05	0.363935430125045	0.303	0.203	0.513234723145838	"InP"	"Flnb"
"Gnas"	2.09454507959211e-05	0.3123191426773	0.281	0.184	0.532077286568785	"InP"	"Gnas"
"Wsb11"	2.2962717314408e-05	0.324867064502787	0.215	0.13	0.583321907937907	"InP"	"Wsb1"
"Tmem251"	2.34135612626187e-05	0.34770618253634	0.212	0.127	0.594774696754303	"InP"	"Tmem25"
"Lamtor4"	2.43042791339749e-05	0.373503011490998	0.168	0.094	0.617401602840363	"InP"	"Lamtor4"
"Sulf22"	2.46055567286562e-05	0.306399073807889	0.135	0.07	0.625054957578054	"InP"	"Sulf2"
"Neto2"	2.54450067486018e-05	0.316872488222172	0.172	0.096	0.646379506434732	"InP"	"Neto2"
"Anapc4"	2.54886267042594e-05	0.358240672156907	0.172	0.097	0.647487584168302	"InP"	"Anapc4"
"Cdh71"	3.10562111429368e-05	0.36522705641961	0.168	0.095	0.788920931664024	"InP"	"Cdh7"
"Cdh91"	3.12852199536581e-05	0.335656134482566	0.182	0.104	0.794738442482778	"InP"	"Cdh9"
"Cttn"	3.20160734282088e-05	0.268372471778265	0.139	0.071	0.813304313296787	"InP"	"Cttn"
"Rpn2"	3.20324601143953e-05	0.261745616723685	0.113	0.054	0.813720584285985	"InP"	"Rpn2"
"Ttc191"	3.4153035589167e-05	0.272786157431093	0.277	0.183	0.867589563071608	"InP"	"Ttc19"
"Park2"	3.48962269363393e-05	0.281305096581791	0.504	0.392	0.886468852863827	"InP"	"Park2"
"Smad1"	3.4931486544732e-05	0.292552337263397	0.106	0.05	0.887364552695827	"InP"	"Smad1"
"Mpc1"	3.73251012470151e-05	0.285428216961132	0.201	0.119	0.948169546977926	"InP"	"Mpc1"
"Wbp4"	4.04233512249726e-05	0.290171373038158	0.168	0.094	1	"InP"	"Wbp4"
"Stmn3"	4.08988578491084e-05	0.292913981212354	0.274	0.181	1	"InP"	"Stmn3"
"Ppargc1b"	4.24607855989739e-05	0.327902023039093	0.131	0.068	1	"InP"	"Ppargc1b"
"Atp5b"	4.48947554926746e-05	0.362104183527555	0.212	0.129	1	"InP"	"Atp5b"
"Gm101251"	5.22551788241376e-05	0.279134338983881	0.12	0.061	1	"InP"	"Gm10125"
"Aco2"	5.45567019344205e-05	0.295806041802857	0.234	0.147	1	"InP"	"Aco2"
"Pnkd"	5.48379461812278e-05	0.414060404160422	0.124	0.064	1	"InP"	"Pnkd"
"Slc7a14"	5.66112140227386e-05	0.268905778809996	0.193	0.114	1	"InP"	"Slc7a14"
"Gigyf2"	5.70718971195787e-05	0.271009072862043	0.252	0.163	1	"InP"	"Gigyf2"
"Srsf1"	5.85628880578625e-05	0.311130953517637	0.259	0.168	1	"InP"	"Srsf1"
"Hspa8"	6.04014562874501e-05	0.28670103039148	0.12	0.061	1	"InP"	"Hspa8"
"Kif5c"	6.1653650269021e-05	0.374013123522681	0.325	0.227	1	"InP"	"Kif5c"
"Tnrc6b"	6.25375671982303e-05	0.263270300083079	0.376	0.271	1	"InP"	"Tnrc6b"
"Pfkm"	6.32532689086121e-05	0.318635362834285	0.255	0.166	1	"InP"	"Pfkm"
"Kif1a"	6.39442166127699e-05	0.288587685384819	0.387	0.282	1	"InP"	"Kif1a"
"Gm26906"	6.39935207091502e-05	0.283699776919701	0.153	0.085	1	"InP"	"Gm26906"
"Gys1"	6.51925146113994e-05	0.355633443791597	0.109	0.054	1	"InP"	"Gys1"
"Taf1d"	6.95924902719477e-05	0.330960247918927	0.303	0.207	1	"InP"	"Taf1d"
"Phkg2"	7.03315371346716e-05	0.377323231084584	0.179	0.108	1	"InP"	"Phkg2"
"Cluh"	7.40488182227526e-05	0.307749435471325	0.15	0.083	1	"InP"	"Cluh"
"Enah1"	7.97785670854313e-05	0.285491297387939	0.23	0.145	1	"InP"	"Enah"
"Zeb21"	8.07907862665738e-05	0.257567309115112	0.526	0.412	1	"InP"	"Zeb2"
"Pick1"	8.17884106578652e-05	0.30893349277429	0.248	0.16	1	"InP"	"Pick1"
"Msrb3"	8.33269770447928e-05	0.293125528865094	0.113	0.057	1	"InP"	"Msrb3"
"Rian"	9.14972482964786e-05	0.286254880409098	0.555	0.442	1	"InP"	"Rian"
"Gcc2"	9.3777544085779e-05	0.322364768006071	0.245	0.162	1	"InP"	"Gcc2"
"Dnajc11"	9.62551236477041e-05	0.269697243677426	0.153	0.086	1	"InP"	"Dnajc11"
"Tpr"	0.000100704696613816	0.333005957078675	0.296	0.203	1	"InP"	"Tpr"
"Noc2l"	0.000101180712059359	0.322715730960424	0.15	0.084	1	"InP"	"Noc2l"
"Atp5c11"	0.000102704863814095	0.288002012847183	0.164	0.095	1	"InP"	"Atp5c1"
"Sptan1"	0.000103141319663238	0.309442820102525	0.504	0.412	1	"InP"	"Sptan1"
"Rnf214"	0.000116821548505478	0.340465837798886	0.135	0.074	1	"InP"	"Rnf214"
"3110057O12Rik"	0.000134784583000055	0.288998477226626	0.204	0.127	1	"InP"	"3110057O12Rik"
"Hdac5"	0.000147089721658187	0.321455745151125	0.142	0.08	1	"InP"	"Hdac5"
"Clec16a"	0.000152221255577392	0.312908022173621	0.219	0.14	1	"InP"	"Clec16a"
"Ppp2r5e"	0.000155027616406273	0.300603446737617	0.179	0.107	1	"InP"	"Ppp2r5e"
"Bcl11b1"	0.000157168973984721	0.308119914515072	0.102	0.051	1	"InP"	"Bcl11b"
"Arnt2"	0.000173619244833056	0.259667500262989	0.325	0.229	1	"InP"	"Arnt2"
"Eif2b4"	0.00017502890879184	0.374735219155296	0.157	0.091	1	"InP"	"Eif2b4"
"Apba1"	0.000175283642060035	0.268839564855189	0.354	0.261	1	"InP"	"Apba1"
"Slc25a26"	0.00017709429842707	0.330518166699043	0.139	0.078	1	"InP"	"Slc25a26"
"Gprasp2"	0.000192961355105923	0.352317544013598	0.23	0.151	1	"InP"	"Gprasp2"
"Gpi11"	0.00020333943330377	0.27930430695308	0.314	0.224	1	"InP"	"Gpi1"
"C530008M17Rik"	0.000206641256644461	0.292279882373659	0.157	0.091	1	"InP"	"C530008M17Rik"
"Ctif"	0.000207367602493164	0.345134778123968	0.172	0.105	1	"InP"	"Ctif"
"Slc25a46"	0.00021620873953952	0.343972780774222	0.102	0.052	1	"InP"	"Slc25a46"
"Dgat1"	0.000221385772219022	0.314627868815127	0.172	0.103	1	"InP"	"Dgat1"
"Tango2"	0.000232571438746898	0.329614856854245	0.292	0.207	1	"InP"	"Tango2"
"Tubgcp3"	0.000237209867928331	0.273177081502522	0.135	0.075	1	"InP"	"Tubgcp3"
"Cdk16"	0.000244430030905968	0.351679936583193	0.128	0.071	1	"InP"	"Cdk16"
"Elovl6"	0.000244568281291284	0.290138215438645	0.142	0.08	1	"InP"	"Elovl6"
"Map41"	0.000247415766170108	0.269812998350038	0.168	0.101	1	"InP"	"Map4"
"Usp29"	0.000250396885233782	0.458661564248358	0.182	0.114	1	"InP"	"Usp29"
"Pkd1"	0.000271302426800343	0.370554423907478	0.31	0.22	1	"InP"	"Pkd1"
"Vps13d"	0.000322096026140979	0.410788583225471	0.237	0.16	1	"InP"	"Vps13d"
"Gm16586"	0.00033280308252405	0.326501066631816	0.285	0.206	1	"InP"	"Gm16586"
"Trpc31"	0.000333105775034416	0.289291538725991	0.124	0.069	1	"InP"	"Trpc3"
"Dcaf11"	0.000348463911780795	0.301753686183986	0.168	0.103	1	"InP"	"Dcaf11"
"Fam19a5"	0.00039863397346698	0.259680030241414	0.172	0.105	1	"InP"	"Fam19a5"
"Gars"	0.000413056001911271	0.275243075641326	0.12	0.067	1	"InP"	"Gars"
"Ttll11"	0.000437313535098688	0.42840844802664	0.234	0.161	1	"InP"	"Ttll11"
"Fkbp3"	0.000438352498569897	0.323279057404229	0.164	0.1	1	"InP"	"Fkbp3"
"Mat2a1"	0.000461872328066546	0.273254028881145	0.321	0.231	1	"InP"	"Mat2a"
"Hook3"	0.000464580820786019	0.295183809773349	0.266	0.183	1	"InP"	"Hook3"
"Prrc2c"	0.000478614419420713	0.307076836685513	0.467	0.368	1	"InP"	"Prrc2c"
"Mff"	0.000494773647040247	0.310471720533983	0.179	0.112	1	"InP"	"Mff"
"Trip12"	0.000521375975721718	0.276946100533761	0.259	0.181	1	"InP"	"Trip12"
"RP23-231J2.1"	0.000536499249128864	0.351901647201869	0.128	0.073	1	"InP"	"RP23-231J2.1"
"Aars2"	0.000561764383005877	0.305055628931043	0.102	0.054	1	"InP"	"Aars2"
"Lrp8"	0.000592346705286905	0.253887797222991	0.193	0.123	1	"InP"	"Lrp8"
"Trp53bp1"	0.000599268415882484	0.326793196118512	0.179	0.114	1	"InP"	"Trp53bp1"
"Atp5h"	0.000628802733093049	0.267837316042227	0.139	0.082	1	"InP"	"Atp5h"
"Atp5d"	0.000643854398203485	0.390908044095579	0.175	0.113	1	"InP"	"Atp5d"
"Clip1"	0.000669979758202553	0.27484338667518	0.336	0.255	1	"InP"	"Clip1"
"Spire1"	0.000697445412474249	0.268998766296165	0.277	0.194	1	"InP"	"Spire1"
"Oxct1"	0.000745250241702366	0.311120217885985	0.296	0.216	1	"InP"	"Oxct1"
"Gmds"	0.000756724310983837	0.258252502410346	0.215	0.143	1	"InP"	"Gmds"
"Lrpprc"	0.000772170420270773	0.318852919972167	0.19	0.123	1	"InP"	"Lrpprc"
"Btbd1"	0.000781441268100598	0.380026664316989	0.157	0.097	1	"InP"	"Btbd1"
"Bend6"	0.000792530202747495	0.368921597286492	0.182	0.12	1	"InP"	"Bend6"
"Ptpn4"	0.000837542070139782	0.275325211350429	0.248	0.173	1	"InP"	"Ptpn4"
"Iqsec1"	0.000838545852640461	0.287059853060256	0.307	0.225	1	"InP"	"Iqsec1"
"Map4k2"	0.000882696411539435	0.281588393553277	0.215	0.148	1	"InP"	"Map4k2"
"Ankrd12"	0.000943826472857314	0.300825617682262	0.464	0.375	1	"InP"	"Ankrd12"
"Ogdh"	0.000964247675868852	0.328038061010131	0.212	0.143	1	"InP"	"Ogdh"
"Fbxw5"	0.000991755072091016	0.259842826483139	0.15	0.091	1	"InP"	"Fbxw5"
"Tcp11l1"	0.00101590404359243	0.299727515766485	0.139	0.084	1	"InP"	"Tcp11l1"
"Serpini1"	0.00114314626405911	0.337810370682492	0.215	0.148	1	"InP"	"Serpini1"
"Dexi1"	0.00117644192023863	0.440973939126533	0.109	0.063	1	"InP"	"Dexi"
"Pitpna"	0.00121023372984808	0.257482259671746	0.234	0.163	1	"InP"	"Pitpna"
"Vstm2a"	0.00121810510832113	0.256731672617909	0.186	0.122	1	"InP"	"Vstm2a"
"Uqcrc1"	0.00122510663446779	0.316402318978837	0.179	0.118	1	"InP"	"Uqcrc1"
"Gns"	0.00144028452232946	0.257819129245972	0.139	0.085	1	"InP"	"Gns"
"Dcaf8"	0.00158770359881606	0.251827518866736	0.212	0.147	1	"InP"	"Dcaf8"
"Specc1"	0.00161353606463119	0.335219407595676	0.259	0.188	1	"InP"	"Specc1"
"Gtf2ird1"	0.00164768103133061	0.312538516510316	0.102	0.058	1	"InP"	"Gtf2ird1"
"Adamts10"	0.00165906080355474	0.278534735987766	0.102	0.057	1	"InP"	"Adamts10"
"Abr"	0.0018564373741585	0.270550809417789	0.365	0.289	1	"InP"	"Abr"
"Chd8"	0.00189684593844249	0.378309393426444	0.263	0.195	1	"InP"	"Chd8"
"Pcbp4"	0.00194196183417935	0.31146960824256	0.146	0.092	1	"InP"	"Pcbp4"
"Plekha5"	0.00214514636910748	0.264897980843741	0.471	0.389	1	"InP"	"Plekha5"
"Clpp"	0.00221632254727184	0.414317042058988	0.15	0.096	1	"InP"	"Clpp"
"Drg2"	0.00225199326909258	0.27108741732978	0.102	0.059	1	"InP"	"Drg2"
"Slco3a1"	0.00235726209230283	0.289846320670732	0.175	0.118	1	"InP"	"Slco3a1"
"Got2"	0.00253312845103913	0.273716673806713	0.106	0.062	1	"InP"	"Got2"
"Ccdc501"	0.00253645410233905	0.264609966009269	0.179	0.118	1	"InP"	"Ccdc50"
"Tmem132a"	0.00267386405681144	0.339532096796508	0.208	0.148	1	"InP"	"Tmem132a"
"Cacna1a"	0.00267565107486097	0.254529996251066	0.558	0.486	1	"InP"	"Cacna1a"
"Ndufv1"	0.00273025639184243	0.328393663819741	0.15	0.097	1	"InP"	"Ndufv1"
"St6galnac54"	0.00286885058605144	0.350763864599531	0.226	0.163	1	"InP"	"St6galnac5"
"Acat1"	0.00322475919914048	0.252833740929773	0.175	0.118	1	"InP"	"Acat1"
"Chd6"	0.00331454068604987	0.256208219295728	0.339	0.269	1	"InP"	"Chd6"
"Cdc42bpb"	0.00384565548882039	0.303083323713546	0.146	0.096	1	"InP"	"Cdc42bpb"
"Cep164"	0.00400398702715752	0.277088142318183	0.131	0.085	1	"InP"	"Cep164"
"Arhgef1"	0.00426004108360334	0.263503231951137	0.157	0.103	1	"InP"	"Arhgef1"
"Prpf4b"	0.00460847431029858	0.280872501923159	0.398	0.331	1	"InP"	"Prpf4b"
"Zfp704"	0.00461527497129149	0.336453750314578	0.241	0.18	1	"InP"	"Zfp704"
"Map7d2"	0.00464539311378346	0.309716208086895	0.259	0.196	1	"InP"	"Map7d2"
"Fam81a"	0.00475396078828099	0.310627960657905	0.146	0.097	1	"InP"	"Fam81a"
"Dlst"	0.00500334009987202	0.251568349621457	0.172	0.116	1	"InP"	"Dlst"
"Sclt1"	0.00501012146825093	0.264550935169445	0.27	0.206	1	"InP"	"Sclt1"
"Acsl62"	0.00530290561657846	0.286008543227825	0.172	0.118	1	"InP"	"Acsl6"
"Mapk8ip3"	0.00538716098426057	0.292634818551586	0.223	0.165	1	"InP"	"Mapk8ip3"
"Fam114a2"	0.00549354926138127	0.277041351395152	0.113	0.07	1	"InP"	"Fam114a2"
"Trpc4ap"	0.00551784754531607	0.289031458256275	0.168	0.117	1	"InP"	"Trpc4ap"
"Krba1"	0.0055880108020846	0.301299870058525	0.128	0.083	1	"InP"	"Krba1"
"Plekha7"	0.00563621109467772	0.300539498384237	0.131	0.086	1	"InP"	"Plekha7"
"Cnot10"	0.00577694929330269	0.271353685616646	0.252	0.19	1	"InP"	"Cnot10"
"AU040320"	0.00612796595186772	0.256198230866259	0.109	0.068	1	"InP"	"AU040320"
"Acin1"	0.00620970222408006	0.279470565193442	0.431	0.365	1	"InP"	"Acin1"
"Slc6a8"	0.00646286637632545	0.278562746761177	0.113	0.071	1	"InP"	"Slc6a8"
"Unc45a"	0.00659268291799997	0.252828167379194	0.12	0.077	1	"InP"	"Unc45a"
"Mfhas1"	0.00724388985900793	0.2756825966713	0.113	0.071	1	"InP"	"Mfhas1"
"St3gal3"	0.00778331568656893	0.25945473144342	0.146	0.099	1	"InP"	"St3gal3"
"Atg2a"	0.00803404262477159	0.25137061100347	0.106	0.066	1	"InP"	"Atg2a"
"Slirp1"	0.00842825382026626	0.252360814789611	0.124	0.08	1	"InP"	"Slirp"
"Prpf6"	0.00845761730567536	0.290760877254325	0.15	0.103	1	"InP"	"Prpf6"
"Tmem63b"	0.00875121588753563	0.282570935544632	0.219	0.163	1	"InP"	"Tmem63b"
"Hdac6"	0.00966194436031555	0.257707020444892	0.113	0.072	1	"InP"	"Hdac6"
"Dync1h1"	0.00989094523213616	0.316975020872278	0.263	0.207	1	"InP"	"Dync1h1"
"Lrrc45"	0.00998617530311512	0.289964804301709	0.292	0.232	1	"InP"	"Lrrc45"
"Sulf11"	1.32227494440042e-84	1.06695836548503	0.3	0.037	3.35897504126038e-80	"E5Sulf1"	"Sulf1"
"Hs3st4"	1.04150754260566e-82	1.43392733534635	0.753	0.261	2.64574161048115e-78	"E5Sulf1"	"Hs3st4"
"Grik31"	6.06877883857167e-63	1.15873507310596	0.422	0.092	1.54165188836236e-58	"E5Sulf1"	"Grik3"
"Cdh181"	7.61485230206233e-63	1.35681092268018	0.767	0.363	1.93440093029289e-58	"E5Sulf1"	"Cdh18"
"Etl41"	9.97466235978605e-57	1.00759404724179	0.901	0.661	2.53386347925645e-52	"E5Sulf1"	"Etl4"
"Celf42"	6.1686875050979e-46	1.08143379672529	0.794	0.472	1.56703168692002e-41	"E5Sulf1"	"Celf4"
"Dlc11"	3.25370328369493e-44	1.09004290365847	0.547	0.2	8.26538245157023e-40	"E5Sulf1"	"Dlc1"
"Rai14"	3.68214843244679e-44	0.830749813648548	0.256	0.047	9.35376166294459e-40	"E5Sulf1"	"Rai14"
"Thsd7b"	9.06758674575339e-43	1.16089335939335	0.413	0.12	2.30343906102373e-38	"E5Sulf1"	"Thsd7b"
"Rxfp11"	5.26087028368258e-40	1.01816028965401	0.251	0.05	1.33641887816389e-35	"E5Sulf1"	"Rxfp1"
