"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Dnajc21"	1.65710309777709e-38	0.530872751564529	0.298	0.166	4.20953899928314e-34	"E3Rorb"	"Dnajc21"
"Ppp3ca"	1.74955141977433e-36	0.326670215173943	0.742	0.646	4.44438547165273e-32	"E3Rorb"	"Ppp3ca"
"Kcnq3"	4.15951958658479e-36	0.324053865356143	0.731	0.613	1.05664276058013e-31	"E3Rorb"	"Kcnq3"
"2010111I01Rik"	1.05795789863245e-35	0.427586512594021	0.549	0.422	2.68753044989602e-31	"E3Rorb"	"2010111I01Rik"
"Fstl4"	1.29802190584411e-35	0.395865431074695	0.518	0.369	3.29736504741579e-31	"E3Rorb"	"Fstl4"
"Pdzrn3"	1.92831603701232e-35	0.402992319487047	0.497	0.35	4.8985012288224e-31	"E3Rorb"	"Pdzrn3"
"Spag5"	2.97780832459981e-35	0.51232003550046	0.173	0.075	7.56452648698091e-31	"E3Rorb"	"Spag5"
"Gm3510"	5.4486546891161e-35	0.524998491634892	0.147	0.059	1.38412175067616e-30	"E3Rorb"	"Gm3510"
"Prkg1"	6.74715835492324e-35	0.385589559560497	0.609	0.478	1.71398063690115e-30	"E3Rorb"	"Prkg1"
"Pde10a"	1.27952897054041e-34	0.313732715915441	0.77	0.668	3.2503874438638e-30	"E3Rorb"	"Pde10a"
"Car4"	1.68819535111868e-34	0.515758767483379	0.182	0.083	4.28852265044679e-30	"E3Rorb"	"Car4"
"Tenm4"	8.18924776590303e-33	0.353602639629119	0.666	0.561	2.08031460997235e-28	"E3Rorb"	"Tenm4"
"Sorcs1"	3.29774158698646e-31	0.370755607113328	0.455	0.317	8.37725295342171e-27	"E3Rorb"	"Sorcs1"
"Stx1a"	6.85844871913608e-31	0.448662229591458	0.362	0.238	1.74225172812214e-26	"E3Rorb"	"Stx1a"
"Trhde"	2.98967878663648e-30	0.381516439276312	0.369	0.24	7.59468102169264e-26	"E3Rorb"	"Trhde"
"Myo16"	3.98795642677664e-30	0.485935573926967	0.209	0.109	1.01306057109407e-25	"E3Rorb"	"Myo16"
"Lrrc4"	1.12706806994616e-29	0.541604626189594	0.184	0.092	2.86309101808422e-25	"E3Rorb"	"Lrrc4"
"Ncam2"	1.14820388951385e-29	0.34424258818173	0.658	0.523	2.91678234053203e-25	"E3Rorb"	"Ncam2"
"Nrsn1"	1.42570093071676e-29	0.436725310093905	0.152	0.067	3.62170807429979e-25	"E3Rorb"	"Nrsn1"
"Cacna2d1"	7.40046485282003e-28	0.293191753890993	0.687	0.577	1.87994008656187e-23	"E3Rorb"	"Cacna2d1"
"Cntnap5b"	8.51196437807049e-28	0.522081825923337	0.343	0.231	2.16229431096125e-23	"E3Rorb"	"Cntnap5b"
"Dcc"	1.09284769524651e-27	0.271288535672359	0.635	0.509	2.7761610002347e-23	"E3Rorb"	"Dcc"
"Syndig1"	5.23025015571897e-27	0.47183557111569	0.298	0.19	1.32864044705729e-22	"E3Rorb"	"Syndig1"
"Lama4"	1.00125493282164e-26	0.393150258223042	0.107	0.041	2.54348790584682e-22	"E3Rorb"	"Lama4"
"Cnksr2"	1.35398724380686e-26	0.297889916145628	0.702	0.611	3.43953379544257e-22	"E3Rorb"	"Cnksr2"
"Kcnh1"	2.37790277253156e-26	0.434898084644493	0.387	0.275	6.04058641306193e-22	"E3Rorb"	"Kcnh1"
"Grm3"	9.8511263525698e-26	0.266315778206342	0.599	0.474	2.50248162734331e-21	"E3Rorb"	"Grm3"
"Pak7"	2.31597398474399e-25	0.331858206703172	0.574	0.471	5.88326871344515e-21	"E3Rorb"	"Pak7"
"Ptchd4"	2.74977362228697e-25	0.437884411884556	0.295	0.188	6.98524993269558e-21	"E3Rorb"	"Ptchd4"
"Osbp2"	4.2421544316799e-25	0.456784146977416	0.309	0.204	1.07763449027965e-20	"E3Rorb"	"Osbp2"
"Foxp1"	1.05001198955663e-24	0.387236405039887	0.433	0.324	2.66734545707071e-20	"E3Rorb"	"Foxp1"
"Rgs7"	8.86577360343404e-24	0.267013800994322	0.706	0.611	2.25217246848035e-19	"E3Rorb"	"Rgs7"
"Rgs4"	2.8367926676097e-23	0.406810094327031	0.148	0.073	7.20630441352892e-19	"E3Rorb"	"Rgs4"
"Atp1a1"	3.09906099261756e-23	0.415799158558585	0.295	0.195	7.8725446395464e-19	"E3Rorb"	"Atp1a1"
"Efna5"	6.35205654108664e-23	0.339816222796546	0.52	0.409	1.61361292313224e-18	"E3Rorb"	"Efna5"
"Fhod3"	1.05053257154509e-22	0.362408867082777	0.387	0.279	2.66866789149598e-18	"E3Rorb"	"Fhod3"
"Ccdc136"	1.46988255618726e-22	0.424879656460296	0.271	0.172	3.7339426574825e-18	"E3Rorb"	"Ccdc136"
"Thsd7a"	5.23111022179026e-22	0.35800585577753	0.245	0.147	1.32885892964138e-17	"E3Rorb"	"Thsd7a"
"Nrgn"	8.98085270920803e-22	0.425579656917017	0.317	0.22	2.28140601372011e-17	"E3Rorb"	"Nrgn"
"Kcnt2"	1.08888688065831e-21	0.341965074390068	0.486	0.386	2.76609934293632e-17	"E3Rorb"	"Kcnt2"
"Ptn"	1.49345339724166e-21	0.308735948685148	0.298	0.195	3.79381966501299e-17	"E3Rorb"	"Ptn"
"Lin7a"	1.73266339186408e-21	0.464985767875135	0.336	0.241	4.40148481435233e-17	"E3Rorb"	"Lin7a"
"Pparg"	2.29493216353753e-21	0.403811106049729	0.22	0.132	5.82981617503439e-17	"E3Rorb"	"Pparg"
"Crhr1"	3.67169813103279e-21	0.436125353239477	0.149	0.077	9.32721476226259e-17	"E3Rorb"	"Crhr1"
"Prmt8"	3.52363015990074e-20	0.422168494008096	0.227	0.142	8.95107769519584e-16	"E3Rorb"	"Prmt8"
"Nrn1"	4.0317971702831e-20	0.441902132632091	0.216	0.133	1.02419743516702e-15	"E3Rorb"	"Nrn1"
"Kcnip2"	9.48722421045656e-19	0.400565060272952	0.22	0.137	2.41003956618228e-14	"E3Rorb"	"Kcnip2"
"Pla2g4e"	1.24853343885813e-18	0.338998740258438	0.13	0.066	3.17164949473132e-14	"E3Rorb"	"Pla2g4e"
"Gabrg2"	5.847963634946e-18	0.363307009276984	0.331	0.242	1.48555820218533e-13	"E3Rorb"	"Gabrg2"
"Lrrc57"	1.12346386946143e-17	0.375015824042464	0.134	0.071	2.85393526759287e-13	"E3Rorb"	"Lrrc57"
"Boc"	1.40369331878301e-17	0.39386709939936	0.112	0.055	3.56580213770447e-13	"E3Rorb"	"Boc"
"Aifm3"	1.45408036242683e-17	0.332529415886835	0.467	0.379	3.69380034467287e-13	"E3Rorb"	"Aifm3"
"Nyap2"	1.47714701455376e-17	0.356291995134427	0.392	0.306	3.75239656107091e-13	"E3Rorb"	"Nyap2"
